"","fecha","zona","sexo","registro","mes","año","month"
"292",2020-06-06,"Estado de Jalisco","Mujeres",20,"2020-06","2020","Junio"
"293",2020-06-06,"AVGM","Mujeres",14,"2020-06","2020","Junio"
"294",2020-06-06,"Puerto Vallarta","Mujeres",3,"2020-06","2020","Junio"
"295",2020-06-07,"Puerto Vallarta","Mujeres",0,"2020-06","2020","Junio"
"296",2020-06-07,"Estado de Jalisco","Mujeres",20,"2020-06","2020","Junio"
"297",2020-06-07,"AVGM","Mujeres",19,"2020-06","2020","Junio"
"298",2020-06-08,"Puerto Vallarta","Mujeres",4,"2020-06","2020","Junio"
"299",2020-06-08,"AVGM","Mujeres",49,"2020-06","2020","Junio"
"300",2020-06-08,"Estado de Jalisco","Mujeres",69,"2020-06","2020","Junio"
"301",2020-06-09,"Puerto Vallarta","Mujeres",5,"2020-06","2020","Junio"
"302",2020-06-09,"AVGM","Mujeres",34,"2020-06","2020","Junio"
"303",2020-06-09,"Estado de Jalisco","Mujeres",53,"2020-06","2020","Junio"
"304",2020-06-10,"Puerto Vallarta","Mujeres",5,"2020-06","2020","Junio"
"305",2020-06-10,"AVGM","Mujeres",32,"2020-06","2020","Junio"
"306",2020-06-10,"Estado de Jalisco","Mujeres",49,"2020-06","2020","Junio"
"307",2020-06-11,"Puerto Vallarta","Mujeres",2,"2020-06","2020","Junio"
"308",2020-06-11,"AVGM","Mujeres",28,"2020-06","2020","Junio"
"309",2020-06-11,"Estado de Jalisco","Mujeres",43,"2020-06","2020","Junio"
"310",2020-06-12,"Puerto Vallarta","Mujeres",2,"2020-06","2020","Junio"
"311",2020-06-12,"Estado de Jalisco","Mujeres",26,"2020-06","2020","Junio"
"312",2020-06-12,"AVGM","Mujeres",18,"2020-06","2020","Junio"
"313",2020-06-13,"Estado de Jalisco","Mujeres",25,"2020-06","2020","Junio"
"314",2020-06-13,"AVGM","Mujeres",19,"2020-06","2020","Junio"
"315",2020-06-13,"Puerto Vallarta","Mujeres",1,"2020-06","2020","Junio"
"316",2020-06-14,"Puerto Vallarta","Mujeres",0,"2020-06","2020","Junio"
"317",2020-06-14,"Estado de Jalisco","Mujeres",19,"2020-06","2020","Junio"
"318",2020-06-14,"AVGM","Mujeres",19,"2020-06","2020","Junio"
"319",2020-06-15,"AVGM","Mujeres",21,"2020-06","2020","Junio"
"320",2020-06-15,"Estado de Jalisco","Mujeres",32,"2020-06","2020","Junio"
"321",2020-06-15,"Puerto Vallarta","Mujeres",2,"2020-06","2020","Junio"
"322",2020-06-16,"AVGM","Mujeres",32,"2020-06","2020","Junio"
"323",2020-06-16,"Puerto Vallarta","Mujeres",6,"2020-06","2020","Junio"
"324",2020-06-16,"Estado de Jalisco","Mujeres",43,"2020-06","2020","Junio"
"325",2020-06-17,"Puerto Vallarta","Mujeres",1,"2020-06","2020","Junio"
"326",2020-06-17,"AVGM","Mujeres",35,"2020-06","2020","Junio"
"327",2020-06-17,"Estado de Jalisco","Mujeres",44,"2020-06","2020","Junio"
"328",2020-06-18,"AVGM","Mujeres",20,"2020-06","2020","Junio"
"329",2020-06-18,"Puerto Vallarta","Mujeres",7,"2020-06","2020","Junio"
"330",2020-06-18,"Estado de Jalisco","Mujeres",36,"2020-06","2020","Junio"
